prefix,max_len,min_len,usage,comment,tags,translated_comment
1988,6,6,Terminating operator codes for generation of routing numbers for International Freephone Services,,"toll free,internal",
1989,6,6,Routing numbers for directory enquiry services and connecting services,,internal,
19890,7,7,Routing numbers for connecting services,,internal,
199,not determined,not determined,Routing number for internal traffic routing,,internal,
201,11,6,Geographic Area Code,Essen,geographic,essen
202,11,6,Geographic Area Code,Wuppertal,geographic,wuppertal
203,11,6,Geographic Area Code,Duisburg,geographic,duisburg
2041,11,6,Geographic Area Code,Bottrop,geographic,bottrop
2043,11,6,Geographic Area Code,Gladbeck,geographic,gladbeck
2045,11,6,Geographic Area Code,Bottrop-Kirchhellen,geographic,bottrop-kirchhellen
2051,11,6,Geographic Area Code,Velbert,geographic,velbert
2052,11,6,Geographic Area Code,Velbert-Langenberg,geographic,velbert-langenberg
2053,11,6,Geographic Area Code,Velbert-Neviges,geographic,velbert-neviges
2054,11,6,Geographic Area Code,Essen-Kettwig,geographic,essen-kettwig
2056,11,6,Geographic Area Code,Heiligenhaus,geographic,heiligenhaus
2058,11,6,Geographic Area Code,Wülfrath,geographic,wuelfrath
2064,11,6,Geographic Area Code,Dinslaken,geographic,dinslaken
2065,11,6,Geographic Area Code,Duisburg-Rheinhausen,geographic,duisburg-rheinhausen
2066,11,6,Geographic Area Code,Duisburg-Homberg,geographic,duisburg-homberg
208,11,6,Geographic Area Code,Oberhausen Rheinland,geographic,oberhausen rheinland
209,11,6,Geographic Area Code,Gelsenkirchen,geographic,gelsenkirchen
2102,11,6,Geographic Area Code,Ratingen,geographic,ratingen
2103,11,6,Geographic Area Code,Hilden,geographic,hilden
2104,11,6,Geographic Area Code,Mettmann,geographic,mettmann
211,11,6,Geographic Area Code,Düsseldorf,geographic,duesseldorf
212,11,6,Geographic Area Code,Solingen,geographic,solingen
2129,11,6,Geographic Area Code,Haan Rheinland,geographic,haan rheinland
2131,11,6,Geographic Area Code,Neuss,geographic,neuss
2132,11,6,Geographic Area Code,Meerbusch-Büderich,geographic,meerbusch-buederich
2133,11,6,Geographic Area Code,Dormagen,geographic,dormagen
2137,11,6,Geographic Area Code,Neuss-Norf,geographic,neuss-norf
214,11,6,Geographic Area Code,Leverkusen,geographic,leverkusen
2150,11,6,Geographic Area Code,Meerbusch-Lank,geographic,meerbusch-lank
2151,11,6,Geographic Area Code,Krefeld,geographic,krefeld
2152,11,6,Geographic Area Code,Kempen,geographic,kempen
2153,11,6,Geographic Area Code,Nettetal-Lobberich,geographic,nettetal-lobberich
2154,11,6,Geographic Area Code,Willich,geographic,willich
2156,11,6,Geographic Area Code,Willich-Anrath,geographic,willich-anrath
2157,11,6,Geographic Area Code,Nettetal-Kaldenkirchen,geographic,nettetal-kaldenkirchen
2158,11,6,Geographic Area Code,Grefrath bei Krefeld,geographic,grefrath bei krefeld
2159,11,6,Geographic Area Code,Meerbusch-Osterath,geographic,meerbusch-osterath
2161,11,6,Geographic Area Code,Mönchengladbach,geographic,moenchengladbach
2162,11,6,Geographic Area Code,Viersen,geographic,viersen
2163,11,6,Geographic Area Code,Schwalmtal Niederrhein,geographic,schwalmtal niederrhein
2164,11,6,Geographic Area Code,Jüchen-Otzenrath,geographic,juechen-otzenrath
2165,11,6,Geographic Area Code,Jüchen,geographic,juechen
2166,11,6,Geographic Area Code,Mönchengladbach-Rheydt,geographic,moenchengladbach-rheydt
2171,11,6,Geographic Area Code,Leverkusen-Opladen,geographic,leverkusen-opladen
2173,11,6,Geographic Area Code,Langenfeld Rheinland,geographic,langenfeld rheinland
2174,11,6,Geographic Area Code,Burscheid Rheinland,geographic,burscheid rheinland
2175,11,6,Geographic Area Code,Leichlingen Rheinland,geographic,leichlingen rheinland
2181,11,6,Geographic Area Code,Grevenbroich,geographic,grevenbroich
2182,11,6,Geographic Area Code,Grevenbroich-Kapellen,geographic,grevenbroich-kapellen
2183,11,6,Geographic Area Code,Rommerskirchen,geographic,rommerskirchen
2191,11,6,Geographic Area Code,Remscheid,geographic,remscheid
2192,11,6,Geographic Area Code,Hückeswagen,geographic,hueckeswagen
2193,11,6,Geographic Area Code,Dabringhausen,geographic,dabringhausen
2195,11,6,Geographic Area Code,Radevormwald,geographic,radevormwald
2196,11,6,Geographic Area Code,Wermelskirchen,geographic,wermelskirchen
2202,11,6,Geographic Area Code,Bergisch Gladbach,geographic,bergisch gladbach
2203,11,6,Geographic Area Code,Köln-Porz,geographic,koeln-porz
2204,11,6,Geographic Area Code,Bensberg,geographic,bensberg
2205,11,6,Geographic Area Code,Rösrath,geographic,roesrath
2206,11,6,Geographic Area Code,Overath,geographic,overath
2207,11,6,Geographic Area Code,Kürten-Dürscheid,geographic,kuerten-duerscheid
2208,11,6,Geographic Area Code,Niederkassel,geographic,niederkassel
221,11,6,Geographic Area Code,Köln,geographic,koeln
2222,11,6,Geographic Area Code,Bornheim Rheinland,geographic,bornheim rheinland
2223,11,6,Geographic Area Code,Königswinter,geographic,koenigswinter
2224,11,6,Geographic Area Code,Bad Honnef,geographic,bad honnef
2225,11,6,Geographic Area Code,Meckenheim Rheinland,geographic,meckenheim rheinland
2226,11,6,Geographic Area Code,Rheinbach,geographic,rheinbach
2227,11,6,Geographic Area Code,Bornheim-Merten,geographic,bornheim-merten
2228,11,6,Geographic Area Code,Remagen-Rolandseck,geographic,remagen-rolandseck
2232,11,6,Geographic Area Code,Brühl Rheinland,geographic,bruehl rheinland
2233,11,6,Geographic Area Code,Hürth Rheinland,geographic,huerth rheinland
2234,11,6,Geographic Area Code,Frechen,geographic,frechen
2235,11,6,Geographic Area Code,Erftstadt,geographic,erftstadt
2236,11,6,Geographic Area Code,Wesseling Rheinland,geographic,wesseling rheinland
2237,11,6,Geographic Area Code,Kerpen Rheinland-Türnich,geographic,kerpen rheinland-tuernich
2238,11,6,Geographic Area Code,Pulheim,geographic,pulheim
2241,11,6,Geographic Area Code,Siegburg,geographic,siegburg
2242,11,6,Geographic Area Code,Hennef Sieg,geographic,hennef sieg
2243,11,6,Geographic Area Code,Eitorf,geographic,eitorf
2244,11,6,Geographic Area Code,Königswinter-Oberpleis,geographic,koenigswinter-oberpleis
2245,11,6,Geographic Area Code,Much,geographic,much
2246,11,6,Geographic Area Code,Lohmar Rheinland,geographic,lohmar rheinland
2247,11,6,Geographic Area Code,Neunkirchen-Seelscheid,geographic,neunkirchen-seelscheid
2248,11,6,Geographic Area Code,Hennef-Uckerath,geographic,hennef-uckerath
2251,11,6,Geographic Area Code,Euskirchen,geographic,euskirchen
2252,11,6,Geographic Area Code,Zülpich,geographic,zuelpich
2253,11,6,Geographic Area Code,Bad Münstereifel,geographic,bad muenstereifel
2254,11,6,Geographic Area Code,Weilerswist,geographic,weilerswist
2255,11,6,Geographic Area Code,Euskirchen-Flamersheim,geographic,euskirchen-flamersheim
2256,11,6,Geographic Area Code,Mechernich-Satzvey,geographic,mechernich-satzvey
2257,11,6,Geographic Area Code,Reckerscheid,geographic,reckerscheid
2261,11,6,Geographic Area Code,Gummersbach,geographic,gummersbach
2262,11,6,Geographic Area Code,Wiehl,geographic,wiehl
2263,11,6,Geographic Area Code,Engelskirchen,geographic,engelskirchen
2264,11,6,Geographic Area Code,Marienheide,geographic,marienheide
2265,11,6,Geographic Area Code,Reichshof-Eckenhagen,geographic,reichshof-eckenhagen
2266,11,6,Geographic Area Code,Lindlar,geographic,lindlar
2267,11,6,Geographic Area Code,Wipperfürth,geographic,wipperfuerth
2268,11,6,Geographic Area Code,Kürten,geographic,kuerten
2269,11,6,Geographic Area Code,Kierspe-Rönsahl,geographic,kierspe-roensahl
2271,11,6,Geographic Area Code,Bergheim Erft,geographic,bergheim erft
2272,11,6,Geographic Area Code,Bedburg Erft,geographic,bedburg erft
2273,11,6,Geographic Area Code,Kerpen-Horrem,geographic,kerpen-horrem
2274,11,6,Geographic Area Code,Elsdorf Rheinland,geographic,elsdorf rheinland
2275,11,6,Geographic Area Code,Kerpen-Buir,geographic,kerpen-buir
228,11,6,Geographic Area Code,Bonn,geographic,bonn
2291,11,6,Geographic Area Code,Waldbröl,geographic,waldbroel
2292,11,6,Geographic Area Code,Windeck Sieg,geographic,windeck sieg
2293,11,6,Geographic Area Code,Nümbrecht,geographic,nuembrecht
2294,11,6,Geographic Area Code,Morsbach Sieg,geographic,morsbach sieg
2295,11,6,Geographic Area Code,Ruppichteroth,geographic,ruppichteroth
2296,11,6,Geographic Area Code,Reichshof-Brüchermühle,geographic,reichshof-bruechermuehle
2297,11,6,Geographic Area Code,Wildbergerhütte,geographic,wildbergerhuette
2301,11,6,Geographic Area Code,Holzwickede,geographic,holzwickede
2302,11,6,Geographic Area Code,Witten,geographic,witten
2303,11,6,Geographic Area Code,Unna,geographic,unna
2304,11,6,Geographic Area Code,Schwerte,geographic,schwerte
2305,11,6,Geographic Area Code,Castrop-Rauxel,geographic,castrop-rauxel
2306,11,6,Geographic Area Code,Lünen,geographic,luenen
2307,11,6,Geographic Area Code,Kamen,geographic,kamen
2308,11,6,Geographic Area Code,Unna-Hemmerde,geographic,unna-hemmerde
2309,11,6,Geographic Area Code,Waltrop,geographic,waltrop
231,11,6,Geographic Area Code,Dortmund,geographic,dortmund
2323,11,6,Geographic Area Code,Herne,geographic,herne
2324,11,6,Geographic Area Code,Hattingen Ruhr,geographic,hattingen ruhr
2325,11,6,Geographic Area Code,Wanne-Eickel,geographic,wanne-eickel
2327,11,6,Geographic Area Code,Bochum-Wattenscheid,geographic,bochum-wattenscheid
2330,11,6,Geographic Area Code,Herdecke,geographic,herdecke
2331,11,6,Geographic Area Code,Hagen Westfalen,geographic,hagen westfalen
2332,11,6,Geographic Area Code,Gevelsberg,geographic,gevelsberg
2333,11,6,Geographic Area Code,Ennepetal,geographic,ennepetal
2334,11,6,Geographic Area Code,Hagen-Hohenlimburg,geographic,hagen-hohenlimburg
2335,11,6,Geographic Area Code,Wetter Ruhr,geographic,wetter ruhr
2336,11,6,Geographic Area Code,Schwelm,geographic,schwelm
2337,11,6,Geographic Area Code,Hagen-Dahl,geographic,hagen-dahl
2338,11,6,Geographic Area Code,Breckerfeld,geographic,breckerfeld
2339,11,6,Geographic Area Code,Sprockhövel-Haßlinghausen,geographic,sprockhoevel-hasslinghausen
234,11,6,Geographic Area Code,Bochum,geographic,bochum
2351,11,6,Geographic Area Code,Lüdenscheid,geographic,luedenscheid
2352,11,6,Geographic Area Code,Altena Westfalen,geographic,altena westfalen
2353,11,6,Geographic Area Code,Halver,geographic,halver
2354,11,6,Geographic Area Code,Meinerzhagen,geographic,meinerzhagen
2355,11,6,Geographic Area Code,Schalksmühle,geographic,schalksmuehle
2357,11,6,Geographic Area Code,Herscheid Westfalen,geographic,herscheid westfalen
2358,11,6,Geographic Area Code,Meinerzhagen-Valbert,geographic,meinerzhagen-valbert
2359,11,6,Geographic Area Code,Kierspe,geographic,kierspe
2360,11,6,Geographic Area Code,Haltern-Lippramsdorf,geographic,haltern-lippramsdorf
2361,11,6,Geographic Area Code,Recklinghausen,geographic,recklinghausen
2362,11,6,Geographic Area Code,Dorsten,geographic,dorsten
2363,11,6,Geographic Area Code,Datteln,geographic,datteln
2364,11,6,Geographic Area Code,Haltern Westfalen,geographic,haltern westfalen
2365,11,6,Geographic Area Code,Marl,geographic,marl
2366,11,6,Geographic Area Code,Herten Westfalen,geographic,herten westfalen
2367,11,6,Geographic Area Code,Henrichenburg,geographic,henrichenburg
2368,11,6,Geographic Area Code,Oer-Erkenschwick,geographic,oer-erkenschwick
2369,11,6,Geographic Area Code,Dorsten-Wulfen,geographic,dorsten-wulfen
2371,11,6,Geographic Area Code,Iserlohn,geographic,iserlohn
2372,11,6,Geographic Area Code,Hemer,geographic,hemer
2373,11,6,Geographic Area Code,Menden Sauerland,geographic,menden sauerland
2374,11,6,Geographic Area Code,Iserlohn-Letmathe,geographic,iserlohn-letmathe
2375,11,6,Geographic Area Code,Balve,geographic,balve
2377,11,6,Geographic Area Code,Wickede Ruhr,geographic,wickede ruhr
2378,11,6,Geographic Area Code,Fröndenberg-Langschede,geographic,froendenberg-langschede
2379,11,6,Geographic Area Code,Menden-Asbeck,geographic,menden-asbeck
2381,11,6,Geographic Area Code,Hamm Westfalen,geographic,hamm westfalen
2382,11,6,Geographic Area Code,Ahlen Westfalen,geographic,ahlen westfalen
2383,11,6,Geographic Area Code,Bönen,geographic,boenen
2384,11,6,Geographic Area Code,Welver,geographic,welver
2385,11,6,Geographic Area Code,Hamm-Rhynern,geographic,hamm-rhynern
2387,11,6,Geographic Area Code,Drensteinfurt-Walstedde,geographic,drensteinfurt-walstedde
2388,11,6,Geographic Area Code,Hamm-Uentrop,geographic,hamm-uentrop
2389,11,6,Geographic Area Code,Werne,geographic,werne
2391,11,6,Geographic Area Code,Plettenberg,geographic,plettenberg
2392,11,6,Geographic Area Code,Werdohl,geographic,werdohl
2393,11,6,Geographic Area Code,Sundern-Allendorf,geographic,sundern-allendorf
2394,11,6,Geographic Area Code,Neuenrade-Affeln,geographic,neuenrade-affeln
2395,11,6,Geographic Area Code,Finnentrop-Rönkhausen,geographic,finnentrop-roenkhausen
2401,11,6,Geographic Area Code,Baesweiler,geographic,baesweiler
2402,11,6,Geographic Area Code,Stolberg Rheinland,geographic,stolberg rheinland
2403,11,6,Geographic Area Code,Eschweiler Rheinland,geographic,eschweiler rheinland
2404,11,6,Geographic Area Code,Alsdorf Rheinland,geographic,alsdorf rheinland
2405,11,6,Geographic Area Code,Würselen,geographic,wuerselen
2406,11,6,Geographic Area Code,Herzogenrath,geographic,herzogenrath
2407,11,6,Geographic Area Code,Herzogenrath-Kohlscheid,geographic,herzogenrath-kohlscheid
2408,11,6,Geographic Area Code,Aachen-Kornelimünster,geographic,aachen-kornelimuenster
2409,11,6,Geographic Area Code,Stolberg-Gressenich,geographic,stolberg-gressenich
241,11,6,Geographic Area Code,Aachen,geographic,aachen
2421,11,6,Geographic Area Code,Düren,geographic,dueren
2422,11,6,Geographic Area Code,Kreuzau,geographic,kreuzau
2423,11,6,Geographic Area Code,Langerwehe,geographic,langerwehe
2424,11,6,Geographic Area Code,Vettweiss,geographic,vettweiss
2425,11,6,Geographic Area Code,Nideggen-Embken,geographic,nideggen-embken
2426,11,6,Geographic Area Code,Nörvenich,geographic,noervenich
2427,11,6,Geographic Area Code,Nideggen,geographic,nideggen
2428,11,6,Geographic Area Code,Niederzier,geographic,niederzier
2429,11,6,Geographic Area Code,Hürtgenwald,geographic,huertgenwald
2431,11,6,Geographic Area Code,Erkelenz,geographic,erkelenz
2432,11,6,Geographic Area Code,Wassenberg,geographic,wassenberg
2433,11,6,Geographic Area Code,Hückelhoven,geographic,hueckelhoven
2434,11,6,Geographic Area Code,Wegberg,geographic,wegberg
2435,11,6,Geographic Area Code,Erkelenz-Lövenich,geographic,erkelenz-loevenich
2436,11,6,Geographic Area Code,Wegberg-Rödgen,geographic,wegberg-roedgen
2440,11,6,Geographic Area Code,Nettersheim-Tondorf,geographic,nettersheim-tondorf
2441,11,6,Geographic Area Code,Kall,geographic,kall
2443,11,6,Geographic Area Code,Mechernich,geographic,mechernich
2444,11,6,Geographic Area Code,Schleiden-Gemünd,geographic,schleiden-gemuend
2445,11,6,Geographic Area Code,Schleiden Eifel,geographic,schleiden eifel
2446,11,6,Geographic Area Code,Heimbach Eifel,geographic,heimbach eifel
2447,11,6,Geographic Area Code,Dahlem bei Kall,geographic,dahlem bei kall
2448,11,6,Geographic Area Code,Hellenthal-Rescheid,geographic,hellenthal-rescheid
2449,11,6,Geographic Area Code,Blankenheim Ahr,geographic,blankenheim ahr
2451,11,6,Geographic Area Code,Geilenkirchen,geographic,geilenkirchen
2452,11,6,Geographic Area Code,Heinsberg Rheinland,geographic,heinsberg rheinland
2453,11,6,Geographic Area Code,Heinsberg-Randerath,geographic,heinsberg-randerath
2454,11,6,Geographic Area Code,Gangelt,geographic,gangelt
2455,11,6,Geographic Area Code,Waldfeucht,geographic,waldfeucht
2456,11,6,Geographic Area Code,Selfkant,geographic,selfkant
2461,11,6,Geographic Area Code,Jülich,geographic,juelich
2462,11,6,Geographic Area Code,Linnich,geographic,linnich
2463,11,6,Geographic Area Code,Titz,geographic,titz
2464,11,6,Geographic Area Code,Aldenhoven bei Jülich,geographic,aldenhoven bei juelich
2465,11,6,Geographic Area Code,Inden,geographic,inden
2471,11,6,Geographic Area Code,Roetgen Eifel,geographic,roetgen eifel
2472,11,6,Geographic Area Code,Monschau,geographic,monschau
2473,11,6,Geographic Area Code,Simmerath,geographic,simmerath
2474,11,6,Geographic Area Code,Nideggen-Schmidt,geographic,nideggen-schmidt
2482,11,6,Geographic Area Code,Hellenthal,geographic,hellenthal
2484,11,6,Geographic Area Code,Mechernich-Eiserfey,geographic,mechernich-eiserfey
2485,11,6,Geographic Area Code,Schleiden-Dreiborn,geographic,schleiden-dreiborn
2486,11,6,Geographic Area Code,Nettersheim,geographic,nettersheim
2501,11,6,Geographic Area Code,Münster-Hiltrup,geographic,muenster-hiltrup
2502,11,6,Geographic Area Code,Nottuln,geographic,nottuln
2504,11,6,Geographic Area Code,Telgte,geographic,telgte
2505,11,6,Geographic Area Code,Altenberge Westfalen,geographic,altenberge westfalen
2506,11,6,Geographic Area Code,Münster-Wolbeck,geographic,muenster-wolbeck
2507,11,6,Geographic Area Code,Havixbeck,geographic,havixbeck
2508,11,6,Geographic Area Code,Drensteinfurt,geographic,drensteinfurt
2509,11,6,Geographic Area Code,Nottuln-Appelhülsen,geographic,nottuln-appelhuelsen
251,11,6,Geographic Area Code,Münster,geographic,muenster
2520,11,6,Geographic Area Code,Wadersloh-Diestedde,geographic,wadersloh-diestedde
2521,11,6,Geographic Area Code,Beckum,geographic,beckum
2522,11,6,Geographic Area Code,Oelde,geographic,oelde
2523,11,6,Geographic Area Code,Wadersloh,geographic,wadersloh
2524,11,6,Geographic Area Code,Ennigerloh,geographic,ennigerloh
2525,11,6,Geographic Area Code,Beckum-Neubeckum,geographic,beckum-neubeckum
2526,11,6,Geographic Area Code,Sendenhorst,geographic,sendenhorst
2527,11,6,Geographic Area Code,Lippetal-Lippborg,geographic,lippetal-lippborg
2528,11,6,Geographic Area Code,Ennigerloh-Enniger,geographic,ennigerloh-enniger
2529,11,6,Geographic Area Code,Oelde-Stromberg,geographic,oelde-stromberg
2532,11,6,Geographic Area Code,Ostbevern,geographic,ostbevern
2533,11,6,Geographic Area Code,Münster-Nienberge,geographic,muenster-nienberge
2534,11,6,Geographic Area Code,Münster-Roxel,geographic,muenster-roxel
2535,11,6,Geographic Area Code,Sendenhorst-Albersloh,geographic,sendenhorst-albersloh
2536,11,6,Geographic Area Code,Münster-Albachten,geographic,muenster-albachten
2538,11,6,Geographic Area Code,Drensteinfurt-Rinkerode,geographic,drensteinfurt-rinkerode
2541,11,6,Geographic Area Code,Coesfeld,geographic,coesfeld
2542,11,6,Geographic Area Code,Gescher,geographic,gescher
2543,11,6,Geographic Area Code,Billerbeck Westfalen,geographic,billerbeck westfalen
2545,11,6,Geographic Area Code,Rosendahl-Darfeld,geographic,rosendahl-darfeld
2546,11,6,Geographic Area Code,Coesfeld-Lette,geographic,coesfeld-lette
2547,11,6,Geographic Area Code,Rosendahl-Osterwick,geographic,rosendahl-osterwick
2548,11,6,Geographic Area Code,Dülmen-Rorup,geographic,duelmen-rorup
2551,11,6,Geographic Area Code,Steinfurt-Burgsteinfurt,geographic,steinfurt-burgsteinfurt
2552,11,6,Geographic Area Code,Steinfurt-Borghorst,geographic,steinfurt-borghorst
2553,11,6,Geographic Area Code,Ochtrup,geographic,ochtrup
2554,11,6,Geographic Area Code,Laer Kreis Steinfurt,geographic,laer kreis steinfurt
2555,11,6,Geographic Area Code,Schöppingen,geographic,schoeppingen
2556,11,6,Geographic Area Code,Metelen,geographic,metelen
2557,11,6,Geographic Area Code,Wettringen Kreis Steinfurt,geographic,wettringen kreis steinfurt
2558,11,6,Geographic Area Code,Horstmar,geographic,horstmar
2561,11,6,Geographic Area Code,Ahaus,geographic,ahaus
2562,11,6,Geographic Area Code,Gronau Westfalen,geographic,gronau westfalen
2563,11,6,Geographic Area Code,Stadtlohn,geographic,stadtlohn
2564,11,6,Geographic Area Code,Vreden,geographic,vreden
2565,11,6,Geographic Area Code,Gronau-Epe,geographic,gronau-epe
2566,11,6,Geographic Area Code,Legden,geographic,legden
2567,11,6,Geographic Area Code,Ahaus-Alstätte,geographic,ahaus-alstaette
2568,11,6,Geographic Area Code,Heek,geographic,heek
2571,11,6,Geographic Area Code,Greven Westfalen,geographic,greven westfalen
2572,11,6,Geographic Area Code,Emsdetten,geographic,emsdetten
2573,11,6,Geographic Area Code,Nordwalde,geographic,nordwalde
2574,11,6,Geographic Area Code,Saerbeck,geographic,saerbeck
2575,11,6,Geographic Area Code,Greven-Reckenfeld,geographic,greven-reckenfeld
2581,11,6,Geographic Area Code,Warendorf,geographic,warendorf
2582,11,6,Geographic Area Code,Everswinkel,geographic,everswinkel
2583,11,6,Geographic Area Code,Sassenberg,geographic,sassenberg
2584,11,6,Geographic Area Code,Warendorf-Milte,geographic,warendorf-milte
2585,11,6,Geographic Area Code,Warendorf-Hoetmar,geographic,warendorf-hoetmar
2586,11,6,Geographic Area Code,Beelen,geographic,beelen
2587,11,6,Geographic Area Code,Ennigerloh-Westkirchen,geographic,ennigerloh-westkirchen
2588,11,6,Geographic Area Code,Harsewinkel-Greffen,geographic,harsewinkel-greffen
2590,11,6,Geographic Area Code,Dülmen-Buldern,geographic,duelmen-buldern
2591,11,6,Geographic Area Code,Lüdinghausen,geographic,luedinghausen
2592,11,6,Geographic Area Code,Selm,geographic,selm
2593,11,6,Geographic Area Code,Ascheberg Westfalen,geographic,ascheberg westfalen
2594,11,6,Geographic Area Code,Dülmen,geographic,duelmen
2595,11,6,Geographic Area Code,Olfen,geographic,olfen
2596,11,6,Geographic Area Code,Nordkirchen,geographic,nordkirchen
2597,11,6,Geographic Area Code,Senden Westfalen,geographic,senden westfalen
2598,11,6,Geographic Area Code,Senden-Ottmarsbocholt,geographic,senden-ottmarsbocholt
2599,11,6,Geographic Area Code,Ascheberg-Herbern,geographic,ascheberg-herbern
2601,11,6,Geographic Area Code,Nauort,geographic,nauort
2602,11,6,Geographic Area Code,Montabaur,geographic,montabaur
2603,11,6,Geographic Area Code,Bad Ems,geographic,bad ems
2604,11,6,Geographic Area Code,Nassau Lahn,geographic,nassau lahn
2605,11,6,Geographic Area Code,Löf,geographic,loef
2606,11,6,Geographic Area Code,Winningen Mosel,geographic,winningen mosel
2607,11,6,Geographic Area Code,Kobern-Gondorf,geographic,kobern-gondorf
2608,11,6,Geographic Area Code,Welschneudorf,geographic,welschneudorf
261,11,6,Geographic Area Code,Koblenz am Rhein,geographic,koblenz am rhein
2620,11,6,Geographic Area Code,Neuhäusel Westerwald,geographic,neuhaeusel westerwald
2621,11,6,Geographic Area Code,Lahnstein,geographic,lahnstein
2622,11,6,Geographic Area Code,Bendorf am Rhein,geographic,bendorf am rhein
